"comment","like_count","panjang"
"betul mbak, sepertinya saya jg harus sering2 ulang kajian ini. mohon doanya juga saudara2 muslimku, semoga masalahku dan keluargaku bisa terselesaikan dan bisa kembali bertumbuh melanjutkan kehidupan, aamiin","0","207"
"pasti allah memberikan jalan terbaik karena allah sangat menyayangi hambanya,yakinkan dalam hatimu pertolongan allah pasti datang","0","129"
"semoga allah selalu merahamatimu kk.. barokallahufij","0","52"
"aamiin, doakan keluarga saya juga saudara-saudara muslim agar masalahnya segera selesai aamiin","0","94"
"aamiin ya allah ..saya juga sedang di uji iman dan ujian rumah tangga .tapi hidup harus terus berjalan","0","102"
"smga allah mudahkan smua urusan n usaha mu lancar shat kyaraya n bhagia slama ny bserta k dua ank2","0","98"
"amin.... saya jga lgi punya mslh bahkan sya nyampe titik hati ini mempertanyakan alloh..... mohon doakan saya semoga smua mslh saya bisa terselesaikan dan keimanan saya terselmatkn... amin....","0","192"
"aamiin semoga allah tenangkan hatimu ka, agar bisa bersabar dan tawakal dari segala cobaan yg allah berikan","0","107"
"saudara saudaraku para pendengar kajian ini mohon doa nya juga, agar aku bisa keluar dari kesulitan ini dan semua kewajiban ku lunas","0","132"
"segala kesulitan akan selalu beriringan dengan kemudahan semoga allah memudahkan mbak","0","85"
"baca terus, doa di qs. 23 : 109 ""rabbana amanna wafirghlana , warhamna , wa anta khayrurahimiin"". hanya ampunan dan rahmat allah lah yang kita mohonkan dan harapkan, karena hny allah yang maha tahu rahmat yang terbaik untuk kita itu berbentuk seperti apa, untuk kebahagiaan didunia dan akhirat, insyaa allah, biidznillah. aamiin allahumma aamiin.","0","346"
"aamiin semoga kita semua diberikan kekuatan dan kemudahan untuk menghadapi ujian baik dari allah. semoga kita semua dipertemukan kelak di surga-nya allah.","0","154"
"assalamu'alaikum. terima kasih atas ilmunya ustad. salam sudaraku seiman semua. bantu do'a nya ya. semoga allah bukakan pintu rezeki untuk saya. rezeki yang tak pernah putus sepeti air zamzam.. agar saya bisa segera melunasi semua hutang-hutang saya. dan agar saya bisa bersedah sebanyak mungkin untuk tabungan saya. saya ingin bisa segera melunasi semua hutang-hutang saya. hingga saya bisa beribadah dengan tenang tanpa hutang. bantu do'a nya ustad. bantu doakan saya juga saudaraku semua. semoga allah jaga kita semua. allah beri keberkahan dan kesehatan. aaminn.","0","566"
"aamiin ya allah semoga cepat selesai ujian nya ka saya juga sama lagi d uji saat ini, semoga sama-sama terselesaikan aamiin","0","123"
"semoga allah mengangkat semua kesulitan yg saudara ku alami..dn juga kesulitan hamba mu ini.. aamiin yra","0","104"
"aamiin yaa allah kak saling mendo'akan yaa kak aku juga lagi ada masalah yg cukup berat juga, semoga do'a dan hajat besar kita segera di kabulkan allah","0","151"
"semoga dimudahkan ujiannya yang dapat datang dari allah amin","0","60"
"allah al fattah.. buka jalan bagi segala masalahmu. aamiin","0","58"
"ya allah kondisi yang sama juga. mengulang kajian agar menjadi lebih kuat. doakan smua masalah bertubi2 bisa cepet selesai dan ttp sabar.","0","137"
"ya allah berikanlah jalan terbaik untuk semua saudaraku sesama muslim amiin...","0","78"
"ku juga alamin saat ini smoga diselesaikan sama allah dgn balasan kebaikan2 yg setimpal, aamiin yaa allah","0","105"
"saya yakin allah swt akan memberikan jln keluar semua persolan yg saya hadapi dan yakin akan meningkatkan derajat lebih tinggi. aamiin yaa rabbal'allamiin","0","154"
"semoga allah menjadikan masalah/ujian/musibah yang kita terima menjadi amal ibadah dan segera di beri solusi. aamiin","0","116"
"saya banyak utang sana sini...1 bulan ini saya udah fokus beribadah dan mengumpulkan uang dikit2 dan trus berdoa....saya percaya allah pasti mendengar doa dan tangisan saya.... dan besok tanggal 10 juli 2025 adalah batas pembayaran.....semoga allah swt mendengar doa saya","0","271"
"persoalan didunia sll pasti ada, yg terpenting solusi dan semangat berusaha berupaya karena didunia untuk menyelesaikan persoalan didunia....doa dan berkarya.... allah swt segalanya","0","181"
"insyaallah segera diangkat semua permasalahan yang ada... aamiin yaa rabbal'aalamiin.","0","85"
